longitude,latitude
-6.7,48.7
-9.11667,47.2667
-9.48333,46.6333
-9.86667,46.15
-8.38333,45.05
-9.15,44.9333
-9.43333,43.8833
-10.3333,44.15
-10.17,43.61
-10,43.0667
-9.83333,42.0167
-10.1833,40.4833
-10,38.55
-11.55,37.0667
-13.4667,35.3333
-14.4833,34.0167
-15.8833,32.7167
-17.15,31.2833
-16.1333,30.7667
-15.5167,29.6667
-15.8333,28.85
-16.9,27.1667
-18.5333,25.6
-19.3833,23.7167
-20.2333,21.4333
-20.8,18.9833
-21.1833,17.5333
-21.6667,15.95
-22.1667,14.1
-22.2,12.5667
-22.1667,12.2333
-22.5333,11.8833
-22.05,10.9333
-22.4667,9.66667
-22.3167,9.7
-22.0667,8.41667
-22.2167,7.96667
-22.2167,7.8
-22.4667,7.6
-22.65,7.35
-22.5333,7.01667
-22.5,6.63333
-22.3833,6.83333
-23.75,5.63333
-23.7833,5.28333
-24.3833,4.78333
-25.3833,3.73333
-26.3333,3.26667
-27.1833,2.76667
-28.2,1.75
-28.2,1.66667
-28.8333,1.11667
-29.5,-0.25
-30.3,-1.35
-31.1167,-2.38333
-32.4833,-3.68333
-32.8,-5.41667
-33.0667,-7.13333
-33.2667,-9.01667
-33.5167,-10.6333
-32.3333,-12.8
-33.1167,-14.85
-33.6167,-16.8167
-34.8333,-18.3667
-35.8333,-19.05
-36.8333,-19.7667
-37.5833,-21.2667
-37.65,-21.4833
-37.7167,-21.5
-37.8167,-23.6167
-42.4833,-24.2833
-42.2667,-24.7667
-41.2,-25.5667
-41.1333,-25.7167
-41.3833,-26.2
-42.1,-28
-41.9167,-29.4
-41.65,-30.1333
-42.5333,-31.35
-42.8,-32.25
-43.45,-32.7
-46.1,-34.0667
-47.2333,-36.0333
-48.5,-37.1333
-49.0167,-37.1333
-49.5333,-36.7667
-50.5333,-37.1833
-52.0833,-38.6167
-54.5,-40.3167
-56.25,-41.6333
-58.4833,-40.8167
-59.6167,-41.75
-60.25,-42.5333
-60.4333,-43.2333
-61.1333,-43.75
-61.1333,-45.2833
-61.5,-47.2833
-60.85,-48.4667
-61.95,-49.8167
-62.3167,-51.3333
-61.9833,-51.4333
-62.8333,-51.2667
-62.8333,-52.3667
-63.1667,-52.9
-64.5833,-54.3333
-68.2167,-56.95
-68.45,-57.0333
-70.0167,-58.0667
-72.8,-59
-74.1667,-60.0667
-75.9,-59.7667
-78.7,-58.7667
-80.9667,-58.5
-81.9167,-58.55
-82.2667,-57.75
-82.2667,-56.7667
-82.3833,-55.3333
-82.9,-54.6667
-83.3167,-53.6
-86.2833,-52.3667
-86.6167,-51.2667
-87.4,-50.9167
-89.6,-49.6833
-90.6167,-49.5333
-91.2,-49.1
-92.0833,-48.45
-94.4167,-48
-97.2833,-46.8
-99.1167,-44.8333
-100.35,-43.35
